,title,company,salary,summary
0,React JS Developer,Infosys Limited,,"A day in the life of an Infoscion • As part of the Infosys Delivery team, you will work on implementing designs, developing high quality programs and systems,…"
1,UI Developer - React JS,Viamagus Technologies Pvt Ltd,"₹3,00,000 - ₹4,50,000 a year",Responsibilities will include crafting the UI using ReactJs for our products as well as for our customer projects.1-3 yrs front end development experience.
2,Java Developer,Infosys Limited,,"A day in the life of an Infoscion • As part of the Infosys Delivery team, you will work on implementing designs, developing high quality programs and systems,…"
3,React Developer,GAE Projects Private Limited,"₹12,303 - ₹57,083 a month","Basic knowledge of state management and/or Redux.Job Types: Full-time, Regular / Permanent."
4,React.js Developer,7-Eleven,,"7-Eleven is looking for experienced React developer who enjoys collaborating with a mighty team of engineers, designers, and product visionaries in transforming…"
5,React JS Developer,Lanatus Systems LLP,"₹25,000 - ₹50,000 a month",Previous experience working as a react.js developer.Developing and implementing highly responsive user interface components using react concepts.
6,Immediate Hiring for React JS Developer -WFH,Kilowott IT services,"₹4,00,000 - ₹9,00,000 a year",The basic role will be creating a great UI/UX.Scale and performance are the main objectives with great customer experience.Knowledge of REST API conventions.
7,REACT JS DEVELOPER,Cilans System,,Translating designs and wireframes into high-quality code.>/li>.Well understanding of React.js and its core principles.Familiarity with code versioning tools.
8,React Js or Node Js Developer,Visionpix Technologies,"₹5,00,000 - ₹11,00,000 a year","1.Experience in Front end technologies like HTML, CSS, Java script.2.Minimum 1 year experience in React Js or Node JS."
9,React JS Developer - Global startup,Alpha Technologies,"₹6,60,000 - ₹11,00,000 a year",You will be responsible for building a new responsive web app (front-end and back-end) from scratch.Participate in the entire web app development lifecycle and…
10,React JS Developer,thinkwik,"₹70,000 a month",Developing new user-facing features using React.js by meeting with the.Development team to discuss user interface ideas and applications.
11,Front End Developer (React JS),Harivara Global Service Pvt. Ltd.,"₹5,00,000 - ₹9,00,000 a year","The candidate will be responsible for designing, developing, testing, and debugging the responsive web application built in React JS for the company."
12,React JS Developer,PNK Solutions Private Limited,"₹3,60,000 - ₹6,00,000 a year","React JS Developer - Full Time*.2 Experience implementing applications using ReactJS.3 Experience creating front end applications using HTML5, ReactJS, LESS…"
13,React Js Developer,Incipientinfo,,Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows.
14,"FullStack Developer_Java, React JS, Springboot",Mercedes-Benz Research and Development India...,,Developing and implementing highly responsive user interface components using react concepts.Developing and implementing highly responsive user interface…
15,ReactJS Developer,Bluehole (OPC) Pvt.Ltd,"₹25,000 - ₹40,000 a month",Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows.
16,Frontend Developer Trainee Internship,BM Coder Technologies,"₹11,128 - ₹51,794 a month","Training will be given to selected candidates.Job Types: Full-time, Internship.Ahmedabad, Ahmedabad - 380015, Gujarat: Reliably commute or planning to…"
17,React JS Developer,CODEVISION TECHNOLOGIES,,"Previous experience working as a React.js Developer.In-depth knowledge of JavaScript, CSS, HTML and front-end languages.Experience with user interface design."
18,"Urgent Requirement Fresher React JS Developer @Bapunagar,Eas...",Infoways Media,,"Knowledge of REACT tools including React.js, Webpack, Enzyme, Redux, and Flux.HTML, CSS, MySQL, React JS.Training *(Based on practical interview)*."
19,React JS Developer,Ezeiatech Systems Pvt Ltd,"₹8,00,000 - ₹12,00,000 a year",Developing new user-facing features using ReactJS.Building reusable components and front-end libraries for future use.Familiarity with code versioning tools.
20,React JS Developer,ANTINO LABS PRIVATE LIMITED,"₹8,00,000 a year","Develop a flexible & well-structured frontend architecture, along with the APIs to support it.Skilled in HTML/CSS/JS and Git.Total work: 1 year (Preferred)."
21,React.js Application Developer,Accenture,,Key Responsibilities : A:Hands-on experience in requirements life cycle management in banking and financial domain Should be able to manage requirements from…
22,React.js Developer,Neetable,,"Developing and implementing highly responsive user interface components using react concepts.In this role, you will be responsible for developing and…"
23,ReactJS Developer,Simplihire,"₹15,00,000 a year","Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model.Thorough understanding of React.js and its core principles."
24,ReactJS Developer,Cilected Simplified Pvt. Ltd,"₹50,000 - ₹60,000 a month",3+ years of experience working as front-end developer in React.Coordinate with the team’s back-end developer on the process of building a RESTful API.
25,REACT JS DEVELOPER,AppsDelegate Technologies,,Help back-end developers with coding and troubleshooting.2+ Years of industry experience as front end developer.Optimize applications for maximum speed.
26,UI Developer ( React JS and Angular Js ) - WFH,Gravest Infotech,,Designing and developing user interfaces using angularJS best practices.Adapting interface for modern internet applications using the latest front-end…
27,React JS Developer,Dodovy,,Experience with Nodejs on the Back-end and building RESTful APIs.Experience in developing cross-browser/platform compatible solutions for web.
28,React.js Developer,TechMayntra Services,,Previous experience working as a react.js developer.Developing and implementing highly responsive user interface components using react concepts.
29,ReactJS Developer,achieversIT,"₹6,00,000 - ₹15,00,000 a year",Paritechsoft Design is looking for an energetic and responsible candidate to join our growing UI Engineering team.Experience with browser-based debugging.
